,llovieron_hamburguesas_al_dia_siguiente
0,no
1,no
2,si
3,no
4,si
5,si
6,si
7,no
8,no
9,no
10,no
11,no
12,si
13,si
14,si
15,no
16,si
17,si
18,no
19,si
20,no
21,no
22,no
23,no
24,si
25,no
26,no
27,no
28,no
29,no
30,no
31,si
32,no
33,no
34,no
35,no
36,no
37,si
38,no
39,no
40,no
41,no
42,no
43,si
44,si
45,si
46,si
47,no
48,no
49,no
50,si
51,si
52,no
53,no
54,no
55,si
56,no
57,no
58,no
59,no
60,si
61,si
62,no
63,no
64,no
65,no
66,no
67,si
68,no
69,no
70,no
71,no
72,si
73,no
74,no
75,no
76,no
77,no
78,no
79,si
80,no
81,no
82,no
83,si
84,no
85,si
86,no
87,no
88,no
89,no
90,no
91,no
92,no
93,no
94,si
95,no
96,no
97,no
98,no
99,no
100,no
101,no
102,no
103,no
104,no
105,no
106,no
107,no
108,si
109,no
110,no
111,no
112,no
113,no
114,no
115,no
116,si
117,si
118,si
119,si
120,si
121,no
122,no
123,no
124,no
125,no
126,si
127,no
128,no
129,no
130,si
131,no
132,no
133,no
134,no
135,si
136,no
137,no
138,no
139,no
140,no
141,si
142,no
143,si
144,si
145,no
146,no
147,no
148,si
149,si
150,si
151,si
152,no
153,no
154,no
155,no
156,no
157,si
158,no
159,no
160,no
161,no
162,no
163,no
164,si
165,no
166,no
167,no
168,no
169,no
170,no
171,no
172,no
173,no
174,no
175,no
176,no
177,no
178,no
179,si
180,no
181,no
182,no
183,si
184,si
185,si
186,no
187,no
188,si
189,no
190,no
191,no
192,si
193,si
194,si
195,no
196,no
197,no
198,no
199,no
200,no
201,no
202,si
203,no
204,no
205,si
206,no
207,no
208,no
209,si
210,no
211,no
212,no
213,no
214,si
215,si
216,no
217,no
218,si
219,no
220,si
221,no
222,no
223,no
224,no
225,no
226,no
227,si
228,si
229,no
230,no
231,no
232,no
233,no
234,si
235,no
236,no
237,no
238,si
239,no
240,no
241,no
242,si
243,no
244,no
245,no
246,si
247,no
248,si
249,si
250,no
251,no
252,no
253,no
254,no
255,no
256,no
257,no
258,no
259,no
260,si
261,no
262,no
263,no
264,no
265,si
266,no
267,no
268,si
269,no
270,si
271,no
272,no
273,no
274,no
275,si
276,no
277,no
278,si
279,no
280,no
281,no
282,no
283,no
284,no
285,no
286,no
287,no
288,no
289,no
290,no
291,si
292,no
293,no
294,no
295,no
296,no
297,no
298,no
299,si
300,no
301,no
302,no
303,si
304,no
305,si
306,no
307,si
308,no
309,no
310,no
311,no
312,no
313,no
314,si
315,si
316,si
317,no
318,si
319,no
320,no
321,no
322,no
323,no
324,no
325,no
326,no
327,no
328,no
329,no
330,no
331,no
332,no
333,no
334,no
335,no
336,no
337,no
338,si
339,no
340,no
341,no
342,no
343,no
344,no
345,si
346,no
347,no
348,no
349,no
350,si
351,si
352,no
353,no
354,si
355,no
356,no
357,no
358,si
359,no
360,no
361,no
362,no
363,si
364,si
365,si
366,no
367,no
368,no
369,no
370,no
371,no
372,no
373,no
374,no
375,no
376,no
377,no
378,no
379,no
380,no
381,no
382,no
383,no
384,no
385,no
386,si
387,no
388,si
389,no
390,no
391,no
392,no
393,no
394,no
395,no
396,no
397,no
398,no
399,si
400,no
401,no
402,no
403,no
404,si
405,no
406,si
407,no
408,si
409,si
410,si
411,no
412,no
413,no
414,no
415,no
416,no
417,no
418,no
419,no
420,no
421,si
422,no
423,si
424,no
425,si
426,no
427,si
428,no
429,no
430,no
431,no
432,no
433,no
434,no
435,no
436,no
437,no
438,no
439,si
440,no
441,no
442,no
443,no
444,no
445,no
446,no
447,no
448,no
449,no
450,si
451,no
452,no
453,no
454,no
455,si
456,no
457,no
458,no
459,no
460,no
461,no
462,no
463,no
464,si
465,no
466,no
467,no
468,si
469,no
470,no
471,no
472,no
473,no
474,no
475,no
476,no
477,si
478,no
479,no
480,no
481,si
482,no
483,no
484,si
485,no
486,si
487,no
488,si
489,no
490,no
491,si
492,no
493,si
494,no
495,si
496,no
497,si
498,si
499,no
500,no
501,no
502,no
503,si
504,si
505,no
506,no
507,no
508,si
509,no
510,no
511,si
512,no
513,no
514,no
515,si
516,no
517,no
518,si
519,si
520,no
521,no
522,no
523,no
524,no
525,no
526,no
527,no
528,no
529,si
530,si
531,no
532,no
533,no
534,no
535,si
536,no
537,no
538,no
539,no
540,no
541,no
542,no
543,no
544,no
545,no
546,no
547,no
548,si
549,si
550,no
551,si
552,si
553,no
554,si
555,no
556,no
557,no
558,no
559,no
560,no
561,no
562,no
563,si
564,no
565,no
566,no
567,no
568,no
569,si
570,si
571,no
572,no
573,no
574,no
575,no
576,no
577,no
578,no
579,no
580,no
581,no
582,no
583,no
584,no
585,no
586,no
587,no
588,si
589,no
590,no
591,no
592,no
593,no
594,si
595,no
596,si
597,no
598,no
599,si
600,si
601,no
602,no
603,si
604,no
605,no
606,no
607,no
608,si
609,no
610,no
611,no
612,no
613,si
614,no
615,si
616,no
617,si
618,no
619,no
620,si
621,no
622,si
623,no
624,no
625,no
626,no
627,no
628,si
629,no
630,no
631,no
632,no
633,no
634,si
635,no
636,si
637,si
638,no
639,si
640,si
641,no
642,si
643,si
644,no
645,si
646,no
647,no
648,no
649,no
650,no
651,si
652,no
653,no
654,no
655,no
656,si
657,si
658,no
659,si
660,no
661,no
662,si
663,si
664,no
665,si
666,si
667,no
668,no
669,no
670,no
671,no
672,si
673,no
674,no
675,no
676,si
677,no
678,no
679,no
680,no
681,no
682,no
683,no
684,no
685,no
686,si
687,no
688,no
689,no
690,si
691,no
692,no
693,si
694,no
695,no
696,no
697,si
698,no
699,no
700,no
701,no
702,no
703,no
704,no
705,no
706,si
707,no
708,no
709,no
710,no
711,no
712,no
713,no
714,si
715,no
716,no
717,no
718,si
719,no
720,no
721,si
722,si
723,no
724,no
725,no
726,no
727,no
728,no
729,no
730,no
731,no
732,no
733,no
734,no
735,no
736,no
737,si
738,no
739,no
740,si
741,no
742,no
743,no
744,no
745,no
746,no
747,no
748,no
749,no
750,no
751,no
752,no
753,si
754,no
755,no
756,no
757,no
758,no
759,no
760,no
761,no
762,no
763,si
764,si
765,no
766,no
767,si
768,no
769,no
770,no
771,si
772,no
773,no
774,no
775,no
776,no
777,no
778,si
779,no
780,no
781,si
782,no
783,no
784,si
785,no
786,no
787,no
788,no
789,si
790,no
791,no
792,no
793,no
794,no
795,no
796,si
797,si
798,no
799,no
800,no
801,no
802,si
803,no
804,no
805,no
806,no
807,no
808,no
809,no
810,no
811,no
812,no
813,si
814,no
815,si
816,no
817,no
818,no
819,no
820,no
821,no
822,si
823,si
824,no
825,no
826,si
827,no
828,si
829,si
830,no
831,si
832,no
833,si
834,no
835,si
836,no
837,si
838,si
839,no
840,no
841,no
842,no
843,no
844,no
845,no
846,no
847,no
848,no
849,no
850,no
851,no
852,no
853,no
854,no
855,no
856,si
857,si
858,no
859,no
860,no
861,no
862,no
863,si
864,no
865,no
866,no
867,si
868,no
869,no
870,no
871,no
872,no
873,no
874,no
875,no
876,no
877,no
878,no
879,si
880,si
881,no
882,si
883,si
884,no
885,no
886,si
887,no
888,no
889,no
890,no
891,no
892,no
893,no
894,si
895,no
896,no
897,si
898,no
899,no
900,no
901,no
902,no
903,si
904,no
905,no
906,no
907,no
908,no
909,no
910,no
911,no
912,si
913,si
914,no
915,si
916,no
917,no
918,no
919,no
920,no
921,si
922,no
923,no
924,no
925,si
926,si
927,no
928,no
929,no
930,si
931,si
932,no
933,si
934,si
935,no
936,no
937,no
938,si
939,si
940,no
941,no
942,si
943,no
944,no
945,si
946,no
947,no
948,no
949,no
950,no
951,si
952,si
953,no
954,no
955,no
956,no
957,no
958,no
959,no
960,si
961,no
962,no
963,no
964,no
965,no
966,no
967,no
968,si
969,no
970,si
971,si
972,si
973,no
974,no
975,no
976,no
977,no
978,si
979,no
980,si
981,no
982,no
983,no
984,no
985,no
986,no
987,no
988,si
989,si
990,si
991,si
992,no
993,no
994,no
995,no
996,si
997,si
998,no
999,no
1000,no
1001,no
1002,no
1003,no
1004,no
1005,no
1006,no
1007,no
1008,no
1009,si
1010,no
1011,no
1012,no
1013,no
1014,si
1015,no
1016,si
1017,no
1018,no
1019,no
1020,no
1021,no
1022,no
1023,si
1024,no
1025,no
1026,si
1027,no
1028,no
1029,no
1030,si
1031,no
1032,no
1033,no
1034,no
1035,no
1036,no
1037,si
1038,si
1039,no
1040,si
1041,no
1042,si
1043,no
1044,si
1045,no
1046,no
1047,no
1048,si
1049,no
1050,no
1051,no
1052,no
1053,no
1054,no
1055,no
1056,si
1057,no
1058,no
1059,no
1060,no
1061,si
